Wvl_nm	Ref_228K	a0	a1
1000	5.2091e-24	-1.3723	0\r
1002	6.0643e-24	-1.3637	0\r
1004	5.1244e-24	-2.0452	0\r
1006	4.3455e-24	-0.73472	0\r
1008	3.3736e-24	-1.6625	0\r
1010	2.983e-24	-2.1145	0\r
1012	2.7568e-24	-3.9335	0\r
1014	2.3456e-24	-1.6502	0\r
1016	2.2404e-24	-1.7441	0\r
1018	1.9199e-24	-5.4397	0\r
1020	1.8286e-24	-2.9381	0\r
1022	1.5128e-24	-0.74924	0\r
1024	1.4448e-24	-2.2288	0\r
1026	1.3347e-24	-2.622	0\r
1028	1.4011e-24	-2.1554	0\r
1030	1.418e-24	-4.6831	0\r
1032	1.4472e-24	-2.6557	0\r
1034	1.5754e-24	-1.9569	0\r
1036	1.7684e-24	-3.0522	0\r
1038	1.9534e-24	-2.3262	0\r
1040	2.2796e-24	-2.8414	0\r
1042	2.7514e-24	-3.8378	0\r
1044	3.7797e-24	0	0\r
1046	6.9923e-24	0	0\r
1048	5.1345e-24	0	0\r
1050	4.9675e-24	0	0\r
1052	3.5664e-24	0	0\r
1054	2.7254e-24	0	0\r
1056	2.2596e-24	0	0\r
1058	1.9824e-24	0	0\r
1060	1.8526e-24	0	0\r
1062	1.8251e-24	0	0\r
1064	1.9844e-24	0	0\r
1066	2.2528e-24	0	0\r
1068	1.7973e-24	0	0\r
1070	1.6877e-24	0	0\r
1072	1.2572e-24	0	0\r
1074	1.0639e-24	0	0\r
1076	9.5542e-25	0	0\r
1078	8.7083e-25	0	0\r
1080	7.6325e-25	0	0\r
1082	6.9362e-25	0	0\r
1084	7.0208e-25	0	0\r
1086	7.8154e-25	0	0\r
1088	7.2221e-25	0	0\r
1090	4.7471e-25	0	0\r
1092	0	0	0\r
1094	0	0	0\r
1096	0	0	0\r
1098	0	0	0\r
1100	0	0	0\r
