wvl_nm	xsec_220K	a_T_
406	5.6469e-19	1.68e-22\r
408	6.3117e-19	-4.79e-24\r
410	6.3402e-19	5.79e-23\r
412	5.1832e-19	3.08e-22\r
414	6.3153e-19	1.35e-22\r
416	4.7027e-19	4.34e-22\r
418	5.537e-19	1.78e-22\r
420	6.115e-19	-5.62e-24\r
422	6.065e-19	1.51e-22\r
424	6.4399e-19	-6.96e-23\r
426	4.3698e-19	5.34e-22\r
428	6.1557e-19	-1.3e-22\r
430	4.6455e-19	2.76e-22\r
432	4.7431e-19	4.32e-22\r
434	5.5766e-19	1.47e-22\r
436	5.7762e-19	3.08e-23\r
438	3.6476e-19	5.77e-22\r
440	5.727e-19	-7.51e-23\r
442	3.505e-19	3.79e-22\r
444	4.786e-19	1.37e-22\r
446	4.5609e-19	2.34e-22\r
448	7.145e-19	-5.51e-22\r
450	3.8874e-19	4.67e-22\r
452	4.4468e-19	6.74e-23\r
454	3.6474e-19	2.95e-22\r
456	3.8351e-19	3.01e-22\r
458	5.0318e-19	-2.57e-22\r
460	4.5614e-19	-1.5e-22\r
462	3.4656e-19	3.23e-22\r
464	4.5101e-19	-6.99e-24\r
466	2.7039e-19	3.75e-22\r
468	3.8473e-19	3.03e-23\r
470	2.9388e-19	3.52e-22\r
472	3.2624e-19	7.66e-23\r
474	4.901e-19	-2.37e-22\r
476	3.3112e-19	2.4e-22\r
478	2.8797e-19	3.24e-22\r
480	3.835e-19	-8.86e-23\r
482	2.8271e-19	2.25e-22\r
484	2.1984e-19	2.92e-22\r
486	2.5289e-19	2.18e-22\r
488	3.2083e-19	-1.51e-24\r
490	3.1625e-19	5.58e-23\r
492	2.1822e-19	3.62e-22\r
494	3.0416e-19	2.08e-23\r
496	3.128e-19	-1.53e-23\r
498	1.8061e-19	2.98e-22\r
500	1.3552e-19	2.45e-22\r
502	2.0668e-19	1.06e-22\r
504	2.3746e-19	2.44e-23\r
506	2.193e-19	4.05e-23\r
508	1.7966e-19	2.1e-22\r
510	2.6041e-19	-2.58e-23\r
512	2.2798e-19	-2.3e-23\r
514	1.5708e-19	1.84e-22\r
516	1.3241e-19	1.87e-22\r
518	1.5198e-19	6.27e-23\r
520	1.7551e-19	2.9e-23\r
522	1.3192e-19	8.26e-23\r
524	1.3627e-19	1.67e-22\r
526	2.0779e-19	1.44e-23\r
528	1.7368e-19	-3.55e-23\r
530	1.4435e-19	2.51e-23\r
532	1.4414e-19	1.44e-22\r
534	1.1282e-19	1.2e-22\r
536	7.7176e-20	1.21e-22\r
538	1.0287e-19	2.63e-23\r
540	8.2044e-20	1.3e-22\r
542	1.3418e-19	-1.05e-23\r
544	1.2166e-19	4.49e-23\r
546	1.1621e-19	-1.99e-23\r
548	1.2588e-19	3.97e-23\r
550	9.9491e-20	9.83e-23\r
552	8.6471e-20	8.99e-23\r
554	8.8735e-20	6.22e-23\r
556	5.0867e-20	1.27e-22\r
558	6.0388e-20	4.81e-23\r
560	4.9548e-20	6.22e-23\r
562	6.1888e-20	1.06e-22\r
564	1.2146e-19	-9.16e-23\r
566	6.1956e-20	5.17e-23\r
568	8.0059e-20	-6.75e-24\r
570	7.4253e-20	6.34e-23\r
572	9.4981e-20	-2.21e-23\r
574	4.9509e-20	5.76e-23\r
576	2.6445e-20	1.04e-22\r
578	3.5406e-20	5.11e-23\r
580	5.1094e-20	3.39e-23\r
582	2.8768e-20	7.46e-23\r
584	3.6443e-20	4.35e-23\r
586	5.5247e-20	-1.31e-23\r
588	3.5913e-20	4.91e-23\r
590	5.405e-20	2.91e-23\r
592	7.3477e-20	-1.11e-23\r
594	4.2883e-20	2.92e-23\r
596	2.3817e-20	6.36e-23\r
598	2.7828e-20	6.02e-23\r
600	4.3593e-20	2.51e-23\r
602	3.6993e-20	8.95e-24\r
604	1.2661e-20	5.05e-23\r
606	1.43e-20	3.63e-23\r
608	1.7914e-20	2.33e-23\r
610	1.5571e-20	4.55e-23\r
612	4.5796e-20	-3.36e-23\r
614	3.1411e-20	2.31e-23\r
616	3.29e-20	1.32e-23\r
618	2.7825e-20	1.55e-23\r
620	2.7574e-20	1.14e-23\r
622	1.7363e-20	3.56e-23\r
624	1.97e-20	2.83e-23\r
626	1.667e-20	1.53e-23\r
628	1.0188e-20	3.52e-23\r
630	7.1419e-21	3.76e-23\r
632	1.2326e-20	1.25e-23\r
634	1.3215e-20	1.43e-23\r
636	1.2415e-20	1.95e-23\r
638	1.3527e-20	1.23e-23\r
640	1.47e-20	-2.49e-24\r
642	1.8081e-20	1.51e-23\r
644	1.4796e-20	7.92e-24\r
646	1.8208e-20	1.39e-23\r
648	1.9316e-20	5.29e-24\r
650	1.121e-20	1.31e-23\r
652	9.5437e-21	2.29e-23\r
654	6.805e-21	2.23e-23\r
656	8.0863e-21	1.44e-23\r
658	5.9137e-21	6.88e-24\r
660	5.7678e-21	8.1e-24\r
662	3.2879e-21	8.37e-24\r
664	2.8183e-21	1.36e-23\r
666	5.9525e-21	1.38e-23\r
668	8.0136e-21	1.77e-23\r
670	9.4756e-21	1.2e-23\r
