XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,APC_MAG_APER_1,APC_MAG_APER_2,APC_MAG_PSF,MergedCatMask,Nobs,DistMP,JD,CropID
555,75,555.304931640625,74.9569091796875,1.27458679676056,0.901315629482269,-0.0255382899194956,651.111633300781,1679.03149414062,1815.85388183594,1579.21533203125,1061.26989746094,189.521011352539,11.3728456497192,190.5458984375,3.46088838577271,16206.80859375,30760.6171875,33368.9765625,0.00785799324512482,0.00570278521627188,0.00547528173774481,13.4106883009755,13.4240338348331,13.4253471993567,0.00853378046303988,0.00619322480633855,0.00594615610316396,134217728,555.318298339844,74.9271697998047,33255.4296875,13.4096199078021,0.00595624791458249,7.00843572616577,182.329544067383,337.257377687389,75.9904321167455,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
41,147,40.4348030090332,147.296752929688,1.18862652778625,0.919508993625641,-0.0386010557413101,75.9754867553711,164.069046020508,171.312683105469,147.585754394531,100.098129272461,189.3095703125,12.2543573379517,189.492935180664,3.37844443321228,1652.3623046875,3027.89965820312,3255.474609375,0.0246855150908232,0.0182073302567005,0.0175571013242006,15.8896684678596,15.9411676326664,15.9521685339557,0.0268084686249495,0.0197731610387564,0.0190670117735863,671088644,40.3887023925781,147.275680541992,3323.873046875,15.9101663631854,0.0188715141266584,1.00060760974884,57.5470542907715,336.506196894265,75.9911706838524,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
291,114,290.820190429688,114.019111633301,1.22324860095978,0.910963773727417,-0.0363757647573948,244.165786743164,547.530578613281,572.026611328125,487.155700683594,326.789703369141,189.423873901367,11.7459774017334,190.453475952148,3.38052201271057,5152.56640625,9570.2666015625,10342.4453125,0.0139466300606728,0.010228150524199,0.00983848422765732,14.6548730276072,14.6917113460911,14.6971463245294,0.0151460403576493,0.0111077716574073,0.0106845935806632,134217732,290.798126220703,113.994850158691,10441.8388671875,14.6673332256732,0.0106337256729603,2.10532665252686,102.127891540527,336.871166298209,75.9917698466516,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
842,44,841.486877441406,43.6388511657715,1.33577179908752,0.906277060508728,-0.00444616936147213,262.080780029297,573.336669921875,602.622985839844,525.754455566406,361.561126708984,189.639526367188,11.4131088256836,190.665435791016,32.9171180725098,5376.076171875,10520.6328125,11493.8134765625,0.0149498851969838,0.0102391801774502,0.00975731667131186,14.6087684914514,14.5889167804797,14.5825440467369,0.0162355750799179,0.0111197493970394,0.010596445761621,671088652,841.534362792969,43.6271133422852,11232.423828125,14.588092426723,0.0102521181106567,3.48249793052673,105.929328918457,337.673207938318,75.9920905801251,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
1134,15,1134.23840332031,14.6055192947388,1.37971317768097,0.93352347612381,-0.00419238349422812,268.891235351562,691.756652832031,761.359924316406,682.157348632812,470.067291259766,189.765853881836,11.2897825241089,189.639404296875,6.32996702194214,6686.6201171875,13533.224609375,14954.58203125,0.0122657464817166,0.00860877428203821,0.00818830262869596,14.3719154119079,14.3155182180022,14.2967687143641,0.0133206006139517,0.00934912916272879,0.00889249704778194,142607372,1134.30737304688,14.6066875457764,14135.63671875,14.33848724789,0.00913788098841906,5.42264366149902,118.845932006836,338.098090051833,75.9940737540707,-0.798772354908582,-0.0896829691300152,-0.019428481042814,131143,20,NaN,2460112.43733135,1
177,142,176.706497192383,142.12451171875,1.1802191734314,0.876506447792053,-0.0203648209571838,105.575401306152,223.973922729492,230.879440307617,194.005493164062,128.682739257812,189.511093139648,11.8925113677979,190.125350952148,12.4081287384033,2132.04907226562,3836.35791015625,4047.65087890625,0.022425489500165,0.0164658706635237,0.0160141885280609,15.6129388328314,15.6842235807683,15.7156967354578,0.0243540816009045,0.0178819354623556,0.0173914078623056,134217732,176.67546081543,142.088714599609,4273.1279296875,15.6374107403216,0.0166364405304193,1.00447952747345,65.2783889770508,336.702301795612,75.9960527944389,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
153,148,152.985443115234,148.073944091797,1.20272064208984,0.908524930477142,-0.0358295813202858,303.364135742188,709.236206054688,744.300598144531,632.325500488281,420.810913085938,189.467346191406,11.9308004379272,189.958938598633,3.31728553771973,6810.1669921875,12510.9033203125,13481.068359375,0.0121275121346116,0.00894430465996265,0.00861618481576443,14.3520376358144,14.4007997714362,14.4093936343479,0.0131704779341817,0.00971351470798254,0.00935717672109604,134217732,152.956161499023,148.045867919922,13703.7685546875,14.3721767467913,0.0092810858041048,2.86664390563965,117.012168884277,336.667167869921,75.9969688435826,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
1338,3,1337.55859375,2.85283398628235,1.43713140487671,0.812389969825745,0.0721113085746765,922.405700683594,1995.59948730469,2084.72192382812,1791.26062011719,1203.09875488281,189.896270751953,10.761118888855,189.896270751953,4.26127290725708,17477.96484375,34645.78125,37161.6875,0.00756798172369599,0.00537388818338513,0.00518869794905186,13.3287049055156,13.2948955501444,13.308465849459,0.00821882858872414,0.00583604257553816,0.00563492579385638,679477248,1337.65710449219,2.83657884597778,37366.03515625,13.2830835384783,0.00561893312260509,73.5811920166016,193.275131225586,338.391913951448,75.9979227392339,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,NaN,NaN,2460112.43733135,1
111,157,110.489814758301,156.883117675781,1.17032361030579,0.896131098270416,-0.0579148195683956,86.4256286621094,176.354553222656,181.664123535156,154.303695678711,104.115249633789,189.390884399414,12.0365676879883,189.790985107422,3.83558893203735,1704.84765625,3092.70703125,3344.54077148438,0.0243233293294907,0.0180244110524654,0.0173294506967068,15.8557177469468,15.9181743806716,15.9228630841059,0.0264151357114315,0.0195745099335909,0.0188197828829288,134217732,110.442596435547,156.835174560547,3424.96508789062,15.8776365322528,0.0185893215239048,0.98828911781311,58.4206352233887,336.604557738431,75.9979425921175,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
1056,42,1056.03747558594,41.6464920043945,1.35672557353973,0.924597561359406,-0.0114139253273606,211.59391784668,521.984924316406,565.584838867188,504.322387695312,353.349182128906,189.688690185547,11.2960557937622,190.704620361328,7.1203465461731,4932.9169921875,9824.4541015625,11032.9052734375,0.0143109513446689,0.0101149445399642,0.0095422463491559,14.7021724992954,14.6632503671435,14.6269796851242,0.0155416931957006,0.0109848296269774,0.0103628793731332,671088640,1056.125,41.6061668395996,10373.5634765625,14.6744562191424,0.0106684705242515,2.90391898155212,101.795288085938,337.981437072178,76.0003172691256,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1
