JD_1,MAG_PSF_AB_1,JD_2,MAG_PSF_AB_2,JD_3,MAG_PSF_AB_3,JD_4,MAG_PSF_AB_4,JD_5,MAG_PSF_AB_5
2460855.28356149,18.910474500738,2460856.28580624,18.9738852175467,2460857.28379839,19.0443510010672,2460859.32659275,18.9270197874629,2460860.49961283,18.9061868735317
2460855.28356149,19.4247062588775,2460856.28580624,19.2357194910291,2460857.28379839,19.3401219679625,2460859.32659275,19.2008490860544,2460860.49961283,19.1946648179217
2460855.28356149,19.0887725200175,2460856.28580624,19.2378013342028,2460857.28379839,18.9734161902659,2460859.32659275,19.1815871811053,2460860.49961283,19.0656933038852
2460855.28356149,17.9227996494614,2460856.28580624,17.8935725353857,2460857.28379839,17.8945570046435,2460859.32659275,17.9164164037346,2460860.49961283,17.9001959711853
2460855.28356149,17.9723192966429,2460856.28580624,17.92216625185,2460857.28379839,17.9787938760961,2460859.32659275,18.0015969609625,2460860.49961283,17.9750598691337
2460855.28356149,16.4773413502978,2460856.28580624,16.4741530962002,2460857.28379839,16.4747627409813,2460859.32659275,16.4489046630708,2460860.49961283,16.4611133483787
2460855.28356149,19.5147769018734,2460856.28580624,19.6027352635761,2460857.28379839,19.6204249343733,2460859.32659275,19.6972075614052,2460860.49961283,19.6143832051294
2460855.28356149,18.1461172969107,2460856.28580624,18.1368915981882,2460857.28379839,18.2190169193558,2460859.32659275,18.1480049982237,2460860.49961283,18.1375904910605
2460855.28356149,19.7879709862866,2460856.28580624,19.7305164768019,2460857.28379839,19.7843210462691,2460859.32659275,19.9273655187064,2460860.49961283,20.0964953620636
2460855.28356149,17.6537252100075,2460856.28580624,17.6993690711911,2460857.28379839,17.6534891205826,2460859.32659275,17.6290531434316,2460860.49961283,17.7054624042016
2460855.28356149,19.5238168339189,2460856.28580624,19.9568007710557,2460857.28379839,19.5488318982133,2460859.32659275,19.9195116565009,2460860.49961283,19.9095655767503
2460855.28356149,11.60018259847,2460856.28580624,11.6043842694501,2460857.28379839,11.6082929649047,2460859.32659275,11.5827407676195,2460860.49961283,11.589959960765
2460855.28356149,15.6591500429989,2460856.28580624,15.6611577712026,2460857.28379839,15.6794645238639,2460859.32659275,15.6668422225837,2460860.49961283,15.6572311357127
2460855.28356149,17.15178542087,2460856.28580624,17.0896073660435,2460857.28379839,17.1737676860922,2460859.32659275,17.1574830610688,2460860.49961283,17.1237869693949
2460855.28356149,16.7991060041464,2460856.28580624,16.7840247795241,2460857.28379839,16.8595933895792,2460859.32659275,16.7967797409009,2460860.49961283,16.8061812945559
2460855.28356149,18.9492799717147,2460856.28580624,18.695322407159,2460857.28379839,18.7631600273472,2460859.32659275,18.6621464226821,2460860.49961283,18.7536761420063
2460855.28356149,17.9005302714422,2460856.28580624,17.9000161764951,2460857.28379839,17.9341212289113,2460859.32659275,17.9017799216549,2460860.49961283,17.9225324219392
2460855.28356149,18.0182154433941,2460856.28580624,18.0614088955996,2460857.28379839,18.1173336590295,2460859.32659275,18.0254918382335,2460860.49961283,18.0734928788553
2460855.28356149,19.259324713851,2460856.28580624,19.4094400181875,2460857.28379839,19.3193991823229,2460859.32659275,19.3581024945778,2460860.49961283,19.4230401789337
2460855.28356149,19.7793243698097,2460856.28580624,19.8014674422946,2460857.28379839,19.76865100636,2460859.32659275,19.7160091394154,2460860.49961283,19.962411470289
2460855.28356149,16.6273863338629,2460856.28580624,16.6170477604181,2460857.28379839,16.6788467090855,2460859.32659275,16.6296529254753,2460860.49961283,16.6714163963002
2460855.28356149,18.2678659410597,2460856.28580624,18.2925750258089,2460857.28379839,18.2753317686677,2460859.32659275,18.3051457265253,2460860.49961283,18.35972661608
2460855.28356149,19.8543250654937,2460856.28580624,19.7099893631779,2460857.28379839,19.9943010470113,2460859.32659275,19.5501254556679,2460860.49961283,19.7436382212067
2460855.28356149,17.092942069121,2460856.28580624,17.0758460836062,2460857.28379839,17.1552593198678,2460859.32659275,17.0744913955834,2460860.49961283,17.1062742888278
2460855.28356149,17.8073093963871,2460856.28580624,17.8297846929192,2460857.28379839,17.835178613548,2460859.32659275,17.9005262227961,2460860.49961283,17.8509282957994
2460855.28356149,20.0487760101534,2460856.28580624,20.0015389841087,2460857.28379839,20.1176211965944,2460859.32659275,19.8855840374541,2460860.49961283,20.0169970700055
2460855.28356149,18.8243088036205,2460856.28580624,19.0435900356287,2460857.28379839,19.082694553481,2460859.32659275,18.9936523699732,2460860.49961283,19.0580632225102
2460855.28356149,18.3398386392941,2460856.28580624,18.3336391774017,2460857.28379839,18.2626273160622,2460859.32659275,18.1622920441873,2460860.49961283,18.1767100040481
2460855.28356149,17.5811796325424,2460856.28580624,17.541707170354,2460857.28379839,17.5620794081252,2460859.32659275,17.5047039103896,2460860.49961283,17.5929419195343
2460855.28356149,16.7170235414402,2460856.28580624,16.7185276276736,2460857.28379839,16.7141069568101,2460859.32659275,16.7044660626356,2460860.49961283,16.7373471094204
2460855.28356149,19.4298859709302,2460856.28580624,19.1818309479947,2460857.28379839,19.2711739080795,2460859.32659275,19.19415602799,2460860.49961283,19.3634308634957
2460855.28356149,18.5531094935855,2460856.28580624,18.5320847382003,2460857.28379839,18.5729426142351,2460859.32659275,18.5455688686938,2460860.49961283,18.5148488933385
2460855.28356149,18.5789198215609,2460856.28580624,18.5899608855743,2460857.28379839,18.5637252788656,2460859.32659275,18.6190915340643,2460860.49961283,18.6754403097914
2460855.28356149,16.4265253532376,2460856.28580624,16.4257105622509,2460857.28379839,16.4637475666047,2460859.32659275,16.4213632732296,2460860.49961283,16.4573264797144
2460855.28356149,17.3276386681073,2460856.28580624,17.2890731457802,2460857.28379839,17.3283532144765,2460859.32659275,17.3409121410986,2460860.49961283,17.304698806361
2460855.28356149,18.1205739081586,2460856.28580624,18.1184600690467,2460857.28379839,18.1834988515011,2460859.32659275,18.1153844242842,2460860.49961283,18.0951809715332
2460855.28356149,14.7587404163034,2460856.28580624,14.7475577122003,2460857.28379839,14.7769219761373,2460859.32659275,14.7501807539733,2460860.49961283,14.7800481360339
2460855.28356149,19.4757017388962,2460856.28580624,19.6536814582451,2460857.28379839,19.424082590368,2460859.32659275,19.4173335393961,2460860.49961283,19.4704716884495
2460855.28356149,16.1502389436829,2460856.28580624,16.1336872947308,2460857.28379839,16.2032966961164,2460859.32659275,16.152184983321,2460860.49961283,16.1926711613155
