XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,APC_MAG_APER_1,APC_MAG_APER_2,APC_MAG_PSF,MergedCatMask,Nobs,DistMP,JD,CropID,DIFF_MAG
1328,828,1327.65490722656,828.223022460938,1.30691432952881,1.00258457660675,0.0655989497900009,1052.16296386719,2484.03686523438,2677.15502929688,2362.75219726562,1618.46789550781,190.876205444336,10.6233386993408,192.199569702148,3.65353727340698,22567.84375,45428.40625,49473.296875,0.00665860716253519,0.00469245435670018,0.00449648499488831,13.0512068948262,13.0007026957617,12.9977772859265,0.00723124761134386,0.00509600527584553,0.00488318270072341,134217732,1327.72375488281,828.257202148438,47161.71875,13.0303016704974,0.00500131212174892,12.1258859634399,217.143020629883,338.246173693426,76.2847611495075,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,0.00826342510375329
264,989,263.909912109375,988.78759765625,1.13969194889069,0.907795906066895,-0.00795295368880033,131.319808959961,284.763702392578,292.673400878906,244.260757446289,160.769515991211,190.231597900391,10.1712484359741,190.370452880859,2.96107459068298,2509.1806640625,4451.314453125,4774.5634765625,0.0199982263147831,0.0150031754747033,0.0144854364916682,15.4361020598055,15.5228007058522,15.5363701911008,0.0217180736362934,0.0162934493273497,0.0157311838120222,134217732,263.867645263672,988.770446777344,4987.1943359375,15.4696355862078,0.0153937386348844,0.746124923229218,70.5481643676758,336.66008073701,76.2939175461878,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,0.00834235770168862
464,974,463.896270751953,973.793090820312,1.17950165271759,0.928563356399536,0.0162503141909838,4986.26220703125,11206.861328125,11655.5078125,9852.1845703125,6558.68115234375,190.256958007812,9.43780422210693,196.209228515625,6.13470554351807,95097.0390625,174033.453125,187288.6875,0.00324341421946883,0.00239734537899494,0.00231093564070761,11.4895145751319,11.5424396048588,11.5524255521359,0.00352234789170325,0.00260351714678109,0.00250967615284026,134217732,463.873748779297,973.783081054688,191052.78125,11.511393169826,0.00248464220203459,10.1523036956787,437.085052490234,336.955529401755,76.2982530690503,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,-0.000297251908191491
1215,885,1214.53588867188,885.408142089844,1.27474784851074,0.987308621406555,0.0504136867821217,249.510498046875,586.532775878906,633.706481933594,562.837951660156,386.367095947266,190.765441894531,10.4273948669434,191.98486328125,4.28025960922241,5458.4560546875,10766.498046875,11649.84765625,0.0135579090565443,0.00964566040784121,0.00927216373383999,14.5922574807229,14.5638352742203,14.5679037941451,0.014723889529705,0.0104751875624061,0.0100695695728064,134217732,1214.57458496094,885.437622070312,11346.1494140625,14.5771547359881,0.0102001149207354,1.47632884979248,106.469390869141,338.07094535226,76.3001676878918,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,0.0109711110299227
461,990,460.655639648438,990.286315917969,1.17935657501221,0.93513023853302,0.0156134404242039,217.337524414062,483.748657226562,508.247589111328,438.263702392578,301.904693603516,190.22200012207,9.36872673034668,192.713027954102,65.0221176147461,4163.50146484375,7632.9892578125,8186.50732421875,0.0220017842948437,0.0142680145800114,0.0136101804673672,14.8862851955702,14.9372848018688,14.9509577646179,0.0238939374685287,0.0154950637370348,0.0147806564345956,134217732,460.64111328125,990.282287597656,8443.3076171875,14.8979946178851,0.0118253594264388,0.391294687986374,91.8365325927734,336.947589247124,76.3038237938614,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,-0.00130722346058897
1342,897,1341.78344726562,896.579833984375,1.29912889003754,1.00648641586304,0.0359324850142002,15392.9873046875,35586.4375,37946.2890625,33387.74609375,22957.87109375,190.551208496094,10.0509853363037,208.730407714844,13.9735975265503,311677.5625,627482.875,687566.125,0.00179177394602448,0.00126260239630938,0.00120615854393691,10.2006682157324,10.1500167541307,10.1404182382739,0.00194586650468409,0.00137118622660637,0.00130988820455968,150994949,1341.83276367188,896.605773925781,651380.875,10.1796880764422,0.00134559907019138,90.615966796875,807.075439453125,338.255749326646,76.3090765851884,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,0.00849955016793669
322,1032,321.891082763672,1031.59069824219,1.15232360363007,0.922670602798462,0.0115225780755281,359.040466308594,805.426147460938,836.347961425781,707.591979980469,473.377044677734,190.210327148438,9.82804870605469,190.684539794922,3.21978044509888,7115.33984375,12796.94921875,13774.1123046875,0.0118636498227715,0.00884346850216389,0.00852376688271761,14.3044429218812,14.3762553254045,14.3860453628603,0.0128839239478111,0.00960400700569153,0.00925681088119745,134217732,321.856079101562,1031.5751953125,14191.6279296875,14.3341957134661,0.00911935325711966,1.72146081924438,119.087394714355,336.73630705902,76.3115557604138,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,-1.60054904949978e-05
1662,869,1662.24829101562,869.430053710938,1.34713280200958,1.02753233909607,0.0759282484650612,133.653671264648,391.749938964844,450.436096191406,414.497985839844,285.957092285156,190.016342163086,9.82630157470703,190.282470703125,2.90479063987732,3706.06909179688,7687.6123046875,8454.8564453125,0.0164451207965612,0.0114114927127957,0.0108808660879731,15.0126482047404,14.9295427470105,14.9159388070871,0.0178594011813402,0.0123928813263774,0.0118166208267212,201326596,1662.33435058594,869.4921875,7847.51806640625,14.9774452251849,0.0122669162228703,2.88820743560791,88.5308074951172,338.730492420319,76.3116674099765,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,0.00385712204049209
390,1026,390.406433105469,1026.10534667969,1.15911209583282,0.946128785610199,-0.0094692837446928,238.047088623047,622.125122070312,673.119934082031,583.686767578125,391.962310791016,190.191024780273,9.57304763793945,190.325637817383,3.2955858707428,5673.4443359375,10381.34765625,11317.396484375,0.0132889878004789,0.00981974508613348,0.00940448511391878,14.5503150334251,14.6033871004446,14.5993380819397,0.0144318407401443,0.0106642432510853,0.0102132707834244,134217860,390.357940673828,1026.09594726562,11393.2763671875,14.5726553005633,0.0101785967126489,1.09653234481812,106.694473266602,336.837680921336,76.3129289676966,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,-0.0104929883365116
1603,889,1602.64770507812,889.097717285156,1.33801174163818,1.0267322063446,0.0737063065171242,262.269622802734,613.57275390625,660.968872070312,585.859802246094,402.730072021484,190.026992797852,9.59647560119629,190.232879638672,3.72088956832886,5218.3193359375,10744.7802734375,11782.044921875,0.0138614941388369,0.00965341180562973,0.00921816937625408,14.6411053920574,14.566027592144,14.5556527241333,0.0150535823777318,0.0104836048558354,0.0100109316408634,201326596,1602.71984863281,889.147094726562,11010.556640625,14.6097522777972,0.0103541482239962,4.05663633346558,104.885498046875,338.639943982186,76.3163394390056,-0.798772354908582,-0.0896829691300152,-0.019428481042814,71,20,NaN,2460112.43733135,1,0.00218085859507209
