XPEAK,YPEAK,X1,Y1,X2,Y2,XY,SN_1,SN_2,SN_3,SN_4,SN_5,BACK_IM,VAR_IM,BACK_ANNULUS,STD_ANNULUS,FLUX_APER_1,FLUX_APER_2,FLUX_APER_3,FLUXERR_APER_1,FLUXERR_APER_2,FLUXERR_APER_3,MAG_APER_1,MAG_APER_2,MAG_APER_3,MAGERR_APER_1,MAGERR_APER_2,MAGERR_APER_3,FLAGS,JD,CropID,X,Y,FLUX_PSF,MAG_PSF,MAGERR_PSF,PSF_CHI2DOF,SN,RA,Dec,DIFF_MAG
758,599,758.242370605469,598.870056152344,1.0845935344696,0.977329969406128,0.0381611287593842,2032.20080566406,4412.97802734375,4584.17626953125,3906.57446289062,2633.19750976562,145.627212524414,165.450424194336,155.122650146484,13.7910223007202,158006.53125,287491.34375,315906.03125,0.00251723453402519,0.00186565436888486,0.00177972030360252,12.4691334680865,11.8192591337093,11.7169262719423,0.00273371674120426,0.00202610064297915,0.00193277630023658,0,2460381.32076979,16,758.248291015625,598.87255859375,317395.375,11.7118194482618,0.00192815833725035,12.5923166275024,563.231750488281,123.983615493547,4.51160877388015,0.00957086277694973
1016,600,1016.36889648438,600.091552734375,1.05967020988464,1.0222954750061,0.038430280983448,90.8538436889648,205.116058349609,214.553894042969,184.799926757812,125.902572631836,145.302200317383,160.849517822266,146.924926757812,45.9175567626953,7332.130859375,13427.998046875,14792.60546875,0.0132516054436564,0.00928248465061188,0.00878844223916531,15.8027455270452,15.1457928861542,15.0407093747178,0.0143912434577942,0.0100807780399919,0.00954424869269133,4,2460381.32076979,16,1016.38470458984,600.074645996094,14718.6826171875,15.0461490533644,0.00900026969611645,1.45921289920807,120.663047790527,124.073926038361,4.51250631525879,-0.0102955866581868
785,604,785.227416992188,603.579650878906,1.08056688308716,0.978468239307404,0.0399095565080643,3705.7333984375,8203.9990234375,8610.060546875,7406.11669921875,5006.00830078125,145.527145385742,164.721252441406,162.995956420898,21.9331474304199,301872.21875,548972.4375,601384.625,0.00182152097113431,0.00135025230702013,0.00129002309404314,11.7662631986483,11.1169447152302,11.0179402638574,0.00197817175649107,0.00146637402940542,0.00140096503309906,16777221,2460381.32076979,16,785.242797851562,603.578186035156,606592.4375,11.0085780999952,0.00139456999022514,30.3412742614746,778.734680175781,123.993052443918,4.51330128522444,0.000413141311633621
322,608,322.265991210938,608.483642578125,1.1179176568985,0.924623608589172,-0.00131191511172801,272.196136474609,624.473999023438,659.750854492188,569.862182617188,385.819915771484,145.379699707031,160.400802612305,144.923065185547,13.1164884567261,23203.177734375,41924.91796875,45976.53125,0.00658916542306542,0.00489387847483158,0.00467243138700724,14.551952396924,13.9096405112546,13.8094805593197,0.00715583376586437,0.00531475199386477,0.00507426029071212,4,2460381.32076979,16,322.263122558594,608.480041503906,46450.30859375,13.7983501336866,0.00504759000614285,7.62337779998779,215.15217590332,123.831032916814,4.51409894915917,-0.0182862146978327
990,611,990.388427734375,610.526184082031,1.07834374904633,1.02925908565521,0.0528741627931595,108.853866577148,243.960159301758,259.596740722656,226.722595214844,154.377304077148,145.345199584961,162.791732788086,144.866882324219,12.575306892395,9097.740234375,17026.51953125,18590.919921875,0.0105748763307929,0.00769918179139495,0.00736527284607291,15.5684872216674,14.8880063596656,14.7925688620452,0.0114843156188726,0.00836131162941456,0.00799868628382683,0,2460381.32076979,16,990.382568359375,610.52490234375,18437.87109375,14.8015449426466,0.00803310144692659,2.2983570098877,135.190628051758,124.064811527799,4.51610429601727,0.00346777538626221
1127,612,1127.01745605469,611.727783203125,1.09665620326996,1.03155100345612,0.0387492515146732,1028.81005859375,2260.84155273438,2380.38818359375,2057.33251953125,1396.25427246094,144.98942565918,151.194549560547,150.358428955078,13.3415355682373,77163.5703125,145547.03125,160439.9375,0.00360407796688378,0.0026227911002934,0.00249795452691615,13.2472902805509,12.5583126869436,12.4525398553299,0.00391402887180448,0.00284835114143789,0.00271277851425111,4,2460381.32076979,16,1127.0146484375,611.714111328125,157178.640625,12.4748380563551,0.0027405759319663,15.4607210159302,396.267059326172,124.112606541585,4.51676429509095,0.00780023706266742
264,619,263.544281005859,619.491943359375,1.10343992710114,0.926211953163147,-0.00953384768217802,74.9004516601562,176.189697265625,187.431579589844,162.3681640625,109.529441833496,145.451354980469,153.210037231445,145.097671508789,11.953067779541,6569.84716796875,11765.2109375,12730.021484375,0.0124707948416471,0.0092751570045948,0.00891269464045763,15.9219328734432,15.2893217628199,15.2037482174679,0.0135432835668325,0.0100728208199143,0.00967918615788221,0,2460381.32076979,16,263.56103515625,619.483093261719,13110.2578125,15.1717927835279,0.00953997299075127,1.88337290287018,113.836799621582,123.810469210752,4.51781603581352,0.0116603657606327
899,628,898.717956542969,628.061218261719,1.07525014877319,1.01149106025696,0.0458141826093197,89.1437530517578,216.251495361328,227.889938354492,195.073181152344,131.254486083984,145.278747558594,163.02653503418,143.863464355469,12.0998878479004,7886.5595703125,14362.1142578125,15713.3271484375,0.0113645019009709,0.00838674046099186,0.0080145625397563,15.723602078074,15.0727751168422,14.9751506799792,0.0123418495059013,0.00910800043493509,0.00870381481945515,0,2460381.32076979,16,898.731384277344,628.052001953125,15680.234375,14.9774396798902,0.00871765334159136,2.04034185409546,124.574813842773,124.03271693303,4.52204996143155,0.0077397899537627
1482,626,1482.3955078125,625.915893554688,1.10174012184143,1.0615326166153,0.0263283438980579,74.6678009033203,175.656585693359,186.499496459961,162.990783691406,112.419166564941,144.466903686523,155.496643066406,145.163055419922,12.420093536377,6194.705078125,11781.8701171875,13095.0107421875,0.0128626609221101,0.00927294138818979,0.00879002455621958,15.9857694498822,15.2877854809136,15.1730564117999,0.0139688495546579,0.0100704142823815,0.00954596698284149,0,2460381.32076979,16,1482.39221191406,625.948852539062,12554.16015625,15.2188527963453,0.00975234527140856,1.88742065429688,111.35782623291,124.236877009378,4.5223391702059,0.0197961680774412
41,649,41.421329498291,648.742797851562,1.0680525302887,0.911722958087921,-0.00152689754031599,354.512054443359,750.422302246094,773.097229003906,653.982177734375,440.1376953125,145.383605957031,156.836639404297,147.892471313477,14.4510383605957,26805.44921875,46848.2734375,51219.7578125,0.00613159686326981,0.00463040545582771,0.00442756339907646,14.3952633398315,13.7890870905002,13.6922272637315,0.00665891403332353,0.0050286203622818,0.00480833370238543,67108868,2460381.32076979,16,41.4272308349609,648.743591308594,53307.85546875,13.6488435647779,0.0047105560079217,11.3055515289307,230.546035766602,123.73267140593,4.52755259331893,0.00389602812142989
